,Manufacturer,Model,Subtitle(kWh),Acceleration(sec),TopSpeed (km/h),Range(km),Efficiency(Wh/km),FastChargeSpeed(km/h),Drive,NumberofSeats,Price(€),Price(£),Rating,Pricein$
88,Volkswagen,ID.4 Pro Performance,77.0,8.5,160,410,188,500,Rear Wheel Drive,5,44450,41570,2909.0,48450.5
89,Mercedes,EQV 300 Extra-Long,90.0,12.1,160,320,281,280,Front Wheel Drive,7,72281,0,2853.0,78786.29000000001
90,Lucid,Air Grand Touring,110.0,3.2,270,660,167,1380,All Wheel Drive,5,140000,125000,4831.0,152600.0
91,Lucid,Air Touring,85.0,3.4,250,530,160,1390,All Wheel Drive,5,95000,90000,4355.0,103550.00000000001
92,Lucid,Air Pure,85.0,4.2,200,540,157,1410,Rear Wheel Drive,5,80000,70000,4186.0,87200.0
93,Dacia,Spring Electric,26.8,15.0,125,170,158,120,Front Wheel Drive,4,20490,0,1568.0,22334.100000000002
94,Tesla,Model 3 Standard Range Plus LFP,51.0,5.6,225,340,150,570,Rear Wheel Drive,5,43560,40990,2855.0,47480.4
95,Tesla,Model 3 Long Range Dual Motor,70.0,4.4,233,455,154,570,All Wheel Drive,5,0,48490,3224.0,0.0
96,Tesla,Model 3 Performance,76.0,3.3,261,470,162,790,All Wheel Drive,5,58560,59990,3640.0,63830.4
97,Fiat,500e Hatchback 24 kWh,23.8,9.5,135,165,144,260,Front Wheel Drive,4,23560,20495,1681.0,25680.4
98,Fiat,500e 3+1,37.3,9.0,150,245,152,410,Front Wheel Drive,4,29560,0,2142.5,32220.4
99,Mercedes,EQC 400 4MATIC,80.0,5.1,180,370,216,440,All Wheel Drive,5,66069,65720,2948.0,72015.21
100,Kia,e-Niro 64 kWh,64.0,7.8,167,370,173,350,Front Wheel Drive,5,39090,32445,2597.0,42608.100000000006
101,Kia,e-Niro 39 kWh,39.2,9.8,155,235,167,230,Front Wheel Drive,5,35290,30345,2017.0,38466.100000000006
102,Citroen,e-SpaceTourer XS 50 kWh,45.0,12.1,130,185,243,250,Front Wheel Drive,7,50880,0,2094.0,55459.200000000004
103,Citroen,e-SpaceTourer M 50 kWh,45.0,12.1,130,185,243,250,Front Wheel Drive,7,51440,31995,2094.0,56069.600000000006
104,Citroen,e-SpaceTourer XL 50 kWh,45.0,12.1,130,180,250,240,Front Wheel Drive,7,52230,0,2095.0,56930.700000000004
105,Citroen,e-SpaceTourer M 75 kWh,68.0,13.3,130,270,252,290,Front Wheel Drive,7,57440,0,2446.0,62609.600000000006
106,Citroen,e-SpaceTourer XL 75 kWh,68.0,13.3,130,270,252,290,Front Wheel Drive,7,58230,0,2446.0,63470.700000000004
107,Opel,Zafira-e Life S 50 kWh,45.0,12.1,130,185,243,250,Front Wheel Drive,7,56700,0,2094.0,61803.00000000001
108,Opel,Zafira-e Life M 50 kWh,45.0,12.1,130,185,243,250,Front Wheel Drive,7,53800,0,2094.0,58642.00000000001
109,Opel,Zafira-e Life L 50 kWh,45.0,12.1,130,180,250,240,Front Wheel Drive,7,54625,49465,2095.0,59541.25000000001
110,Opel,Zafira-e Life M 75 kWh,68.0,13.3,130,270,252,290,Front Wheel Drive,7,59800,0,2446.0,65182.00000000001
111,Opel,Zafira-e Life L 75 kWh,68.0,13.3,130,270,252,290,Front Wheel Drive,7,60625,0,2446.0,66081.25
112,Peugeot,e-Traveller Compact 50 kWh,45.0,12.1,130,185,243,250,Front Wheel Drive,7,50880,0,2094.0,55459.200000000004
113,Peugeot,e-Traveller Standard 50 kWh,45.0,13.1,130,185,243,250,Front Wheel Drive,7,55900,49065,2094.0,60931.00000000001
114,Peugeot,e-Traveller Long 50 kWh,45.0,13.1,130,185,243,250,Front Wheel Drive,7,56690,49905,2094.0,61792.100000000006
115,Peugeot,e-Traveller Standard 75 kWh,68.0,13.3,130,270,252,290,Front Wheel Drive,7,57440,0,2446.0,62609.600000000006
116,Peugeot,e-Traveller Long 75 kWh,68.0,13.3,130,270,252,290,Front Wheel Drive,7,58230,0,2446.0,63470.700000000004
117,Audi,e-tron 55 quattro,86.5,5.7,200,365,237,590,All Wheel Drive,5,81500,0,3263.5,88835.0
118,Audi,e-tron Sportback 55 quattro,86.5,5.7,200,375,231,600,All Wheel Drive,5,83750,0,3275.5,91287.5
119,Seres,3 ,52.0,8.9,155,270,193,390,Front Wheel Drive,5,0,0,2389.0,0.0
120,Hyundai,IONIQ 5 Project 45,72.6,5.2,185,370,196,860,All Wheel Drive,5,59550,48000,3291.0,64909.50000000001
121,Porsche,Taycan ,71.0,5.4,230,395,180,790,Rear Wheel Drive,4,83520,70690,3395.0,91036.8
122,Porsche,Taycan Plus,83.7,5.4,230,460,182,960,Rear Wheel Drive,4,89244,74739,3764.5,97275.96
123,Tesla,Model S Long Range,90.0,3.2,250,555,162,830,All Wheel Drive,5,86990,83980,3876.0,94819.1
124,Tesla,Model S Plaid,90.0,2.1,322,535,168,800,All Wheel Drive,5,126990,118980,4112.0,138419.1
125,Tesla,Model X Long Range,90.0,3.9,250,475,189,710,All Wheel Drive,7,95990,90980,3677.0,104629.1
126,Tesla,Model X Plaid,90.0,2.6,262,455,198,680,All Wheel Drive,7,116990,110980,3682.0,127519.1
127,Mini,Cooper SE ,28.9,7.3,150,185,156,260,Front Wheel Drive,4,32500,26000,1842.5,35425.0
128,JAC,iEV7s ,39.0,12.0,132,225,173,160,Front Wheel Drive,5,0,0,1852.0,0.0
129,Volkswagen,ID.4 Pure Performance,52.0,9.0,160,285,182,410,Rear Wheel Drive,5,38450,36030,2426.0,41910.5
130,Audi,e-tron GT quattro,85.0,4.1,245,420,202,840,All Wheel Drive,4,99800,79900,3691.0,108782.00000000001
131,Volvo,C40 Recharge,75.0,4.7,180,340,221,440,All Wheel Drive,5,62050,57400,2878.0,67634.5
132,Hyundai,Kona Electric 39 kWh,39.2,9.9,155,250,157,210,Front Wheel Drive,5,35650,27950,1997.0,38858.5
133,Hyundai,Kona Electric 64 kWh,64.0,7.9,167,395,162,370,Front Wheel Drive,5,41850,32550,2634.0,45616.5
134,Porsche,Taycan 4S Cross Turismo,83.7,4.1,240,405,207,850,All Wheel Drive,4,111842,87820,3659.5,121907.78000000001
135,Porsche,Taycan Turbo Cross Turismo,83.7,3.3,250,385,217,800,All Wheel Drive,4,154444,116950,3639.5,168343.96000000002
136,Porsche,Taycan Turbo S Cross Turismo,83.7,2.9,250,380,220,790,All Wheel Drive,4,187746,139910,3628.5,204643.14
137,Kia,EV6 GT,77.4,3.5,260,395,196,920,All Wheel Drive,5,65990,58295,3725.0,71929.1
138,BMW,iX xDrive40,71.0,6.1,200,350,203,470,All Wheel Drive,5,77300,69905,2934.0,84257.0
139,BMW,iX xDrive50,105.2,4.6,200,505,208,620,All Wheel Drive,5,98000,91905,3580.0,106820.00000000001
140,MG,MG5 Electric,57.0,8.3,180,340,168,440,Front Wheel Drive,5,35000,0,2629.0,38150.0
141,MG,Marvel R Performance,65.0,4.9,200,330,197,380,All Wheel Drive,5,50000,0,2756.0,54500.00000000001
142,Hyundai,IONIQ 5 Standard Range 2WD,58.0,8.5,185,310,187,720,Rear Wheel Drive,5,41900,36995,2931.0,45671.0
143,Hyundai,IONIQ 5 Standard Range AWD,58.0,6.1,185,305,190,710,All Wheel Drive,5,45700,0,2920.0,49813.00000000001
144,Hyundai,IONIQ 5 Long Range 2WD,72.6,7.4,185,385,189,890,Rear Wheel Drive,5,45100,41945,3330.0,49159.0
145,Hyundai,IONIQ 5 Long Range AWD,72.6,5.2,185,375,194,870,All Wheel Drive,5,48900,45145,3305.0,53301.00000000001
146,Kia,EV6 Standard Range 2WD,58.0,8.5,185,320,181,740,Rear Wheel Drive,5,44990,40985,2953.0,49039.100000000006
147,Kia,EV6 Long Range 2WD,77.4,7.5,185,420,184,980,Rear Wheel Drive,5,54990,48000,3499.0,59939.100000000006
148,Kia,EV6 Long Range AWD,77.4,5.4,185,410,189,950,All Wheel Drive,5,56000,52000,3464.0,61040.00000000001
149,Mercedes,EQS 450+,107.8,6.2,210,640,168,840,Rear Wheel Drive,5,106374,95000,4003.0,115947.66
150,Mercedes,EQS 580 4MATIC,107.8,4.3,210,610,177,800,All Wheel Drive,5,135529,115000,3930.0,147726.61000000002
151,Tesla,Model 3 Standard Range Plus,50.0,5.6,225,340,147,680,Rear Wheel Drive,5,43560,40990,2951.0,47480.4
152,Polestar,2 Standard Range Single Motor,61.0,7.4,160,350,174,450,Front Wheel Drive,5,46500,39900,2617.0,50685.00000000001
153,Polestar,2 Long Range Single Motor,75.0,7.4,160,425,176,550,Front Wheel Drive,5,49500,42900,2943.0,53955.00000000001
154,Polestar,2 Long Range Dual Motor,75.0,4.7,205,395,190,510,All Wheel Drive,5,52500,45900,3065.0,57225.00000000001
155,Volkswagen,ID.4 Pure,52.0,10.9,160,285,182,410,Rear Wheel Drive,5,36950,32150,2426.0,40275.5
156,Audi,Q4 e-tron 40,76.6,8.5,160,405,189,500,Rear Wheel Drive,5,47500,44990,2900.0,51775.00000000001
157,Audi,Q4 e-tron 50 quattro,76.6,6.2,180,385,199,470,All Wheel Drive,5,53600,51370,2940.0,58424.00000000001
158,Audi,Q4 Sportback e-tron 50 quattro,76.6,6.2,180,400,192,490,All Wheel Drive,5,55600,52870,2969.0,60604.00000000001
159,Mercedes,EQB 350 4MATIC,66.5,6.5,160,340,196,400,All Wheel Drive,7,60000,50000,2640.5,65400.00000000001
160,Volkswagen,ID.4 GTX,77.0,6.2,180,400,193,490,All Wheel Drive,5,50415,55540,2974.0,54952.350000000006
161,Mercedes,EQA 300 4MATIC,66.5,7.7,160,350,190,420,All Wheel Drive,5,53538,0,2662.5,58356.420000000006
162,Mercedes,EQA 350 4MATIC,66.5,6.0,160,350,190,420,All Wheel Drive,5,56216,0,2662.5,61275.44
163,Toyota,PROACE Verso M 50 kWh,45.0,12.1,130,185,243,250,Front Wheel Drive,7,58530,0,2094.0,63797.700000000004
164,Toyota,PROACE Verso L 50 kWh,45.0,12.1,130,180,250,240,Front Wheel Drive,7,59385,0,2095.0,64729.65
165,Toyota,PROACE Verso M 75 kWh,68.0,13.1,130,270,252,290,Front Wheel Drive,7,64530,0,2446.0,70337.70000000001
166,Toyota,PROACE Verso L 75 kWh,68.0,13.1,130,270,252,290,Front Wheel Drive,7,65385,0,2446.0,71269.65000000001
167,CUPRA,Born 150 kW - 62 kWh,58.0,7.3,160,350,166,440,Rear Wheel Drive,5,36770,30500,2568.0,40079.3
168,CUPRA,Born 170 kW - 62 kWh,58.0,6.6,160,345,168,430,Rear Wheel Drive,5,39000,31500,2554.0,42510.0
169,CUPRA,Born 170 kW - 82 kWh,77.0,7.0,160,450,171,550,Rear Wheel Drive,5,43000,42000,2988.0,46870.0
170,BMW,i4 M50,80.7,3.9,225,450,179,630,All Wheel Drive,5,69900,63905,3370.5,76191.0
171,Volvo,XC40 Recharge Twin Pure Electric,75.0,4.9,180,340,221,440,All Wheel Drive,5,59250,49950,2878.0,64582.50000000001
172,Renault,Megane E-Tech Electric,60.0,8.0,160,335,179,480,Front Wheel Drive,5,38000,32500,2627.0,41420.0
173,Peugeot,e-Rifter Standard 50 kWh,45.0,11.7,135,200,225,270,Front Wheel Drive,7,37590,30375,2110.0,40973.100000000006
174,Peugeot,e-Rifter Long 50 kWh,45.0,11.7,135,195,231,260,Front Wheel Drive,7,42590,32455,2108.0,46423.100000000006
175,MG,Marvel R ,65.0,7.9,200,340,191,390,Rear Wheel Drive,5,40000,0,2768.0,43600.0
176,Tesla,Model 3 Long Range Dual Motor,76.0,4.4,233,490,155,820,All Wheel Drive,5,53560,0,3577.0,58380.4
177,MG,MG5 EV Long Range,57.0,7.7,185,340,168,340,Front Wheel Drive,5,0,26495,2549.0,0.0
178,Audi,Q4 e-tron 45 quattro,76.6,6.9,180,385,199,470,All Wheel Drive,5,50900,0,2940.0,55481.00000000001
179,Audi,Q4 Sportback e-tron 40,76.6,8.5,160,425,180,520,Rear Wheel Drive,5,49500,0,2933.0,53955.00000000001
